home_team,elo,form_5,avg_goals_5,avg_conceded_5,avg_goal_diff_5
Abkhazia,1525.609994818194,8.0,1.0,0.8,0.2
Afghanistan,1285.1170950396945,5.0,0.4,0.8,-0.4
Albania,1577.9817137586308,7.0,1.8,1.2,0.6
Alderney,1184.2529711818024,3.0,1.2,3.8,-2.6
Algeria,1777.782346696386,13.0,1.8,0.4,1.4
American Samoa,1251.21700566325,0.0,0.2,9.2,-9.0
Andalusia,1563.4444094514347,11.0,2.2,1.2,1.0
Andorra,1195.1576299616304,1.0,0.2,2.0,-1.8
Angola,1539.3621063929158,5.0,1.2,1.6,-0.4
Anguilla,1138.532628290411,3.0,0.6,2.4,-1.8
Antigua and Barbuda,1432.684992904508,4.0,0.8,1.6,-0.8
Arameans Suryoye,1511.0814474927338,3.0,1.0,0.0,1.0
Argentina,1995.626709001892,13.0,1.6,0.2,1.4
Armenia,1484.0492855776654,6.0,1.2,2.0,-0.8
Artsakh,1518.630701348733,9.0,4.4,1.4,3.0
Aruba,1289.2838778958817,1.0,1.2,2.2,-1.0
Australia,1764.2544291454494,13.0,1.4,0.2,1.2
Austria,1782.4736814613036,10.0,1.8,1.2,0.6
Aymara,1489.71225631668,0.0,1.0,3.0,-2.0
Azerbaijan,1437.0899636811807,3.0,1.4,2.2,-0.8
Bahamas,1374.093122314612,4.0,0.8,3.0,-2.2
Bahrain,1537.36514315674,3.0,0.8,2.0,-1.2
Bangladesh,1210.1421291474642,3.0,0.8,2.2,-1.4
Barawa,1488.2932911008704,3.0,2.0,3.0,-1.0
Barbados,1367.4482446315176,9.0,1.8,1.0,0.8
Basque Country,1704.60548405924,11.0,2.0,1.0,1.0
Belarus,1567.1945407634532,3.0,0.4,2.0,-1.6
Belgium,1885.037900356116,8.0,1.4,0.6,0.8
Belize,1374.7936040622524,7.0,1.4,0.8,0.6
Benin,1521.4235104024367,10.0,1.8,1.4,0.4
Bermuda,1385.8467265320478,1.0,0.8,3.8,-3.0
Bhutan,1107.1630518946235,0.0,0.2,4.4,-4.2
Biafra,1500.2982231163155,3.0,0.5,0.5,0.0
Bolivia,1579.385777074447,1.0,0.2,2.0,-1.8
Bonaire,1459.7648749677203,5.0,2.0,4.6,-2.6
Bosnia and Herzegovina,1595.3849403027702,9.0,2.0,1.0,1.0
Botswana,1428.9850267678853,8.0,0.6,0.4,0.2
Brazil,1908.8669808106984,7.0,1.8,1.4,0.4
British Virgin Islands,1255.598504566897,0.0,0.0,5.2,-5.2
Brittany,1508.667744594072,7.0,1.2,1.2,0.0
Brunei,1142.4837049918303,15.0,1.8,0.4,1.4
Bulgaria,1678.3716582024324,13.0,2.6,0.8,1.8
Burkina Faso,1575.5846774586407,9.0,1.8,1.2,0.6
Burundi,1430.238973490073,7.0,1.8,2.2,-0.4
Cambodia,1192.4096532917492,5.0,1.6,2.2,-0.6
Cameroon,1643.4530565817886,5.0,1.0,0.8,0.2
Canada,1744.6553818081088,11.0,2.6,0.6,2.0
Canary Islands,1499.8927580163884,6.0,3.0,1.0,2.0
Cape Verde,1593.1164998647723,6.0,1.4,1.2,0.2
Catalonia,1616.553166718514,6.0,1.2,0.8,0.4
Cayman Islands,1302.3200189199054,0.0,0.2,2.8,-2.6
Central African Republic,1387.5295537315792,6.0,1.0,1.8,-0.8
Chad,1386.1232302577146,6.0,1.0,1.8,-0.8
Chagos Islands,1432.843213108741,0.0,1.4,6.0,-4.6
Chile,1686.1380600104312,4.0,1.2,2.0,-0.8
China,1568.2478261063536,6.0,1.2,1.6,-0.4
Colombia,1910.5442090720987,15.0,2.8,0.8,2.0
Comoros,1464.8807301196132,7.0,2.0,1.6,0.4
Congo,1472.9231730529696,1.0,1.0,2.6,-1.6
Cook Islands,1362.254035543793,3.0,0.6,3.4,-2.8
Corsica,1543.2093559586883,11.0,1.2,0.4,0.8
Costa Rica,1674.6600681073278,15.0,5.4,1.0,4.4
County of Nice,1552.67326211084,13.0,2.6,0.8,1.8
Croatia,1829.2193872138628,10.0,2.2,1.6,0.6
Cuba,1445.709391773794,9.0,1.8,1.8,0.0
Curaçao,1483.2819361091026,10.0,2.6,0.8,1.8
Cyprus,1520.3185358177525,9.0,1.4,1.6,-0.2
Czech Republic,1705.600836284964,8.0,2.4,1.2,1.2
Czechoslovakia,1667.5532794993223,9.0,2.4,1.2,1.2
DR Congo,1611.0130317631367,10.0,1.2,0.8,0.4
Denmark,1802.9390365286383,11.0,1.8,0.8,1.0
Djibouti,1159.4894653772517,0.0,0.2,3.0,-2.8
Dominica,1301.0061592011934,2.0,0.8,3.0,-2.2
Dominican Republic,1462.2967153343338,6.0,2.4,1.8,0.6
Donetsk PR,1480.4541409661372,0.0,0.5,2.0,-1.5
Délvidék,1508.8906253163484,3.0,3.0,1.0,2.0
Ecuador,1779.935485486896,9.0,1.4,1.0,0.4
Egypt,1721.6950515357105,8.0,1.4,0.6,0.8
El Salvador,1503.1126343793385,12.0,1.6,1.0,0.6
Elba Island,1508.7233471758416,3.0,4.0,2.0,2.0
Ellan Vannin,1537.771857206071,9.0,3.0,1.4,1.6
England,1895.1090488814248,8.0,1.4,0.8,0.6
Equatorial Guinea,1454.7358247620523,1.0,0.6,1.8,-1.2
Eritrea,1352.093980077167,2.0,0.8,2.0,-1.2
Estonia,1469.8110625058723,6.0,1.2,2.2,-1.0
Eswatini,1387.8021420352843,8.0,1.6,1.2,0.4
Ethiopia,1447.0531973920693,4.0,0.8,1.2,-0.4
Falkland Islands,1402.5353247606213,6.0,1.6,3.6,-2.0
Faroe Islands,1335.155556911366,0.0,0.6,3.2,-2.6
Felvidék,1503.9952593647608,6.0,2.0,1.6666666666666667,0.3333333333333333
Fiji,1535.2240450158706,9.0,3.4,1.2,2.2
Finland,1613.7570807526783,6.0,1.0,1.0,0.0
France,1929.885873582177,9.0,1.0,0.2,0.8
French Guiana,1479.5624802485945,13.0,2.2,0.6,1.6
Frøya,1486.2737407754933,6.0,1.8,2.8,-1.0
Gabon,1508.410866461846,5.0,0.8,1.4,-0.6
Galicia,1538.6864745843786,8.0,1.6,2.4,-0.8
Gambia,1468.0931316493618,1.0,0.8,2.2,-1.4
Georgia,1635.5617319098253,10.0,2.4,0.8,1.6
German DR,1611.066238881052,9.0,1.8,1.8,0.0
Germany,1878.3334337104984,15.0,3.0,0.8,2.2
Ghana,1646.917917475989,9.0,1.6,1.6,0.0
Gibraltar,1267.4689394614695,0.0,0.0,5.2,-5.2
Gotland,1470.6636881849638,3.0,2.0,2.2,-0.2
Gozo,1486.4858289409422,9.0,4.2,0.6,3.6
Greece,1674.5159252027552,4.0,0.8,1.8,-1.0
Greenland,1461.087586865268,5.0,1.2,2.8,-1.6
Grenada,1364.3453358742518,15.0,3.4,0.6,2.8
Guadeloupe,1505.9080190334148,4.0,1.0,2.0,-1.0
Guam,1281.368465201988,0.0,0.4,2.6,-2.2
Guatemala,1542.396252957127,7.0,2.2,1.2,1.0
Guernsey,1688.6006642223283,12.0,3.4,1.0,2.4
Guinea,1541.6119264130118,10.0,1.2,0.6,0.6
Guinea-Bissau,1434.561493873385,3.0,0.0,1.6,-1.6
Guyana,1449.944012941119,6.0,1.6,1.6,0.0
Găgăuzia,1474.2691849364371,0.0,0.5,4.0,-3.5
Haiti,1587.0581124532694,13.0,3.0,0.4,2.6
Hitra,1415.7706938630336,7.0,1.8,2.8,-1.0
Hmong,1489.497127502123,0.0,0.0,3.0,-3.0
Honduras,1574.11405770871,12.0,2.0,1.8,0.2
Hong Kong,1383.014332036627,15.0,2.4,0.4,2.0
Hungary,1708.3567333755516,10.0,1.2,0.8,0.4
Iceland,1568.6186484006355,3.0,0.4,0.8,-0.4
India,1370.61447029976,1.0,0.4,1.4,-1.0
Indonesia,1483.490537197569,9.0,1.2,1.4,-0.2
Iran,1796.0884613557755,8.0,1.6,0.4,1.2
Iraq,1684.6146104987895,11.0,1.0,0.4,0.6
Iraqi Kurdistan,1504.754845871906,9.0,3.0,1.0,2.0
Isle of Man,1602.137780115003,12.0,4.2,1.0,3.2
Isle of Wight,1587.1021277023249,13.0,2.2,0.6,1.6
Israel,1569.2719519298787,10.0,1.2,0.8,0.4
Italy,1871.3676715302347,11.0,1.0,0.2,0.8
Ivory Coast,1684.9301760835524,7.0,0.8,1.4,-0.6
Jamaica,1627.062205976523,13.0,2.4,0.8,1.6
Japan,1858.527846672648,15.0,2.0,0.4,1.6
Jersey,1736.0546168236492,15.0,3.6,0.8,2.8
Jordan,1663.664818547158,15.0,2.0,0.4,1.6
Kazakhstan,1437.4440400780345,5.0,1.2,1.8,-0.6
Kenya,1503.9899144733486,8.0,1.2,1.0,0.2
Kernow,1559.891044955629,13.0,2.8,0.8,2.0
Kiribati,1476.1684790376162,0.0,0.0,18.5,-18.5
Kosovo,1518.0006926883486,5.0,1.2,1.2,0.0
Kuwait,1506.434857589824,6.0,1.2,1.4,-0.2
Kyrgyzstan,1427.440976176927,7.0,0.8,1.2,-0.4
Laos,1137.4540356659763,3.0,0.8,3.2,-2.4
Latvia,1419.3270054891464,4.0,1.6,2.0,-0.4
Lebanon,1438.7633400411985,2.0,0.4,1.4,-1.0
Lesotho,1366.2042050388436,7.0,1.2,1.2,0.0
Liberia,1436.616982937128,4.0,1.6,2.0,-0.4
Libya,1458.3223261872415,9.0,1.0,1.0,0.0
Liechtenstein,1255.7671233036522,1.0,0.2,2.8,-2.6
Lithuania,1505.7707688463886,8.0,1.0,1.0,0.0
Luhansk PR,1479.4028988002017,4.0,1.0,1.8,-0.8
Luxembourg,1433.6840479308878,6.0,0.6,1.6,-1.0
Macau,1138.127896559282,0.0,1.0,2.8,-1.8
Madagascar,1416.4599677796773,8.0,1.2,1.0,0.2
Malawi,1447.953623186076,11.0,1.2,0.2,1.0
Malaysia,1490.8116302324015,8.0,1.2,0.8,0.4
Maldives,1267.388411406071,9.0,1.6,1.4,0.2
Mali,1641.1593767709714,7.0,1.2,1.0,0.2
Malta,1302.825225598822,5.0,1.4,2.0,-0.6
Manchukuo,1477.600019409757,0.0,0.0,6.5,-6.5
Martinique,1526.8010670929218,10.0,1.6,0.8,0.8
Mauritania,1474.0308106669163,2.0,0.4,1.2,-0.8
Mauritius,1279.9825682086978,7.0,0.6,0.8,-0.2
Mayotte,1448.9053692631844,7.0,1.0,1.2,-0.2
Menorca,1550.547470173664,11.0,2.4,0.8,1.6
Mexico,1802.4540283586289,11.0,1.4,0.2,1.2
Micronesia,1474.284055571433,0.0,0.5,3.5,-3.0
Moldova,1339.725098354639,1.0,0.8,2.4,-1.6
Monaco,1500.2097452061887,7.0,1.8,7.8,-6.0
Mongolia,1252.8435588832033,4.0,1.6,2.2,-0.6
Montenegro,1549.7841796468026,7.0,2.0,1.2,0.8
Montserrat,1357.5280838611832,6.0,2.0,2.4,-0.4
Morocco,1850.2025242428813,11.0,1.6,0.4,1.2
Mozambique,1432.5254645176783,8.0,1.0,0.6,0.4
Myanmar,1249.564328993757,2.0,1.0,1.6,-0.6
Namibia,1489.9864680105245,5.0,1.2,1.4,-0.2
Nepal,1268.6622793651063,10.0,1.4,1.8,-0.4
Netherlands,1890.5560949920807,10.0,1.8,1.0,0.8
New Caledonia,1518.24972036779,12.0,4.4,0.4,4.0
New Zealand,1590.6317247629618,8.0,1.6,0.4,1.2
Nicaragua,1380.280864386562,7.0,1.2,1.2,0.0
Niger,1393.0251361147402,1.0,0.2,1.6,-1.4
Nigeria,1710.4771545194235,9.0,1.2,0.6,0.6
Niue,1494.0940790147104,0.0,0.0,14.0,-14.0
North Korea,1525.7024301486442,3.0,1.6,4.2,-2.6
North Macedonia,1537.761794140616,7.0,1.2,1.2,0.0
North Vietnam,1460.6756728835971,7.0,3.2,1.4,1.8
Northern Cyprus,1544.9891069823586,10.0,2.4,0.8,1.6
Northern Ireland,1565.1896101709226,10.0,1.2,0.2,1.0
Northern Mariana Islands,1248.249843697549,4.0,1.4,4.2,-2.8
Norway,1617.4163261582653,7.0,1.4,1.6,-0.2
Occitania,1584.8059604538648,9.0,1.0,0.6,0.4
Oman,1593.9994852898988,5.0,0.6,0.8,-0.2
Orkney,1427.3941388955,7.0,1.8,1.4,0.4
Padania,1603.7194957061315,8.0,2.2,1.8,0.4
Pakistan,1166.3903972379935,0.0,0.2,2.4,-2.2
Palau,1487.0348916480675,0.0,2.0,6.0,-4.0
Palestine,1520.1846607338114,6.0,0.6,1.0,-0.4
Panama,1698.2090026202525,11.0,1.8,0.8,1.0
Panjab,1504.1421281258931,6.0,4.666666666666667,3.333333333333333,1.3333333333333333
Papua New Guinea,1473.785504026156,13.0,1.8,0.8,1.0
Paraguay,1652.7473606556837,4.0,0.4,1.2,-0.8
Peru,1727.4684571311475,11.0,1.4,0.2,1.2
Philippines,1342.83698781047,6.0,1.0,1.2,-0.2
Poland,1730.8166135393153,10.0,2.0,1.4,0.6
Portugal,1895.0863979513235,10.0,2.6,1.2,1.4
Provence,1476.532209742837,9.0,6.6,2.2,4.4
Puerto Rico,1376.2939397760676,4.0,0.6,2.2,-1.6
Qatar,1614.5875504269004,5.0,0.8,1.0,-0.2
Quebec,1516.80416749907,6.0,12.0,0.5,11.5
Raetia,1420.517831652231,5.0,3.0,2.8,0.2
Republic of Ireland,1655.987366175981,11.0,2.4,0.8,1.6
Republic of St. Pauli,1510.1043137605252,4.0,4.0,0.5,3.5
Rhodes,1542.6812089047178,12.0,1.8,0.8,1.0
Romani people,1482.6282602764186,3.0,2.0,4.6,-2.6
Romania,1646.7421924952685,6.0,0.8,0.6,0.2
Russia,1709.371943134077,7.0,1.0,1.4,-0.4
Rwanda,1435.5859887824415,3.0,0.6,1.2,-0.6
Réunion,1564.8949986439738,6.0,1.2,0.6,0.6
Saare County,1367.378335715128,1.0,1.2,3.0,-1.8
Saarland,1473.0140379863064,1.0,0.8,3.4,-2.6
Saint Barthélemy,1465.9775232668296,7.0,2.8,2.6,0.2
Saint Kitts and Nevis,1372.9215292999015,6.0,2.6,2.8,-0.2
Saint Lucia,1334.0870373797109,7.0,1.4,1.8,-0.4
Saint Martin,1315.0740518495168,8.0,0.8,1.0,-0.2
Saint Pierre and Miquelon,1438.6206537135638,0.0,0.2,10.2,-10.0
Saint Vincent and the Grenadines,1382.8214895547198,10.0,2.8,0.8,2.0
Samoa,1378.7257835603789,9.0,1.8,2.4,-0.6
San Marino,1037.3183483031785,0.0,0.8,2.6,-1.8
Sark,1490.2862119610318,0.0,0.0,19.0,-19.0
Saudi Arabia,1665.1588848964818,9.0,1.4,1.2,0.2
Scotland,1680.675696862339,4.0,1.0,2.4,-1.4
Sealand,1473.3555698584482,7.0,2.2,3.6,-1.4
Senegal,1791.1011227919737,13.0,2.2,0.4,1.8
Serbia,1742.6874717864896,7.0,1.4,1.0,0.4
Seychelles,1155.1133581503684,0.0,0.4,4.2,-3.8
Shetland,1468.6275028216987,3.0,2.0,2.0,0.0
Sierra Leone,1458.9394178627012,6.0,1.0,1.2,-0.2
Silesia,1502.585451771312,10.0,3.8,2.0,1.8
Singapore,1381.34775787004,8.0,1.6,1.4,0.2
Sint Maarten,1398.135715175096,1.0,0.8,6.6,-5.8
Slovakia,1660.871360578443,10.0,2.0,0.6,1.4
Slovenia,1672.133717170614,9.0,1.6,1.0,0.6
Solomon Islands,1514.5657527564676,6.0,1.6,1.8,-0.2
Somalia,1146.776331658362,0.0,0.4,2.2,-1.8
South Africa,1626.9985304799798,4.0,1.2,1.6,-0.4
South Korea,1797.0567277924472,13.0,2.8,0.6,2.2
South Ossetia,1479.72721999509,11.0,1.4,0.8,0.6
South Sudan,1369.4602485214907,3.0,1.2,2.4,-1.2
Spain,1955.129139817118,15.0,2.0,0.6,1.4
Sri Lanka,1118.7872275392267,5.0,1.2,1.4,-0.2
Sudan,1433.8317157734527,1.0,0.0,1.2,-1.2
Suriname,1510.2676938809095,10.0,1.4,1.0,0.4
Sweden,1727.2381214945306,7.0,1.4,1.6,-0.2
Switzerland,1791.4289827458456,6.0,1.6,1.2,0.4
Syria,1537.658658830452,13.0,2.4,0.2,2.2
Székely Land,1463.557056622761,4.0,1.6,2.8,-1.2
Sápmi,1493.9146717561289,6.0,1.4,1.4,0.0
São Tomé and Príncipe,1380.29105231504,1.0,0.4,3.6,-3.2
Tahiti,1536.994778692695,13.0,2.4,0.2,2.2
Taiwan,1283.2390601593854,3.0,0.8,2.2,-1.4
Tajikistan,1479.0304083344454,10.0,2.0,0.8,1.2
Tamil Eelam,1525.7578550029366,15.0,3.0,0.6,2.4
Tanzania,1461.5171033364002,6.0,0.6,1.0,-0.4
Thailand,1553.1088575457134,9.0,2.4,1.8,0.6
Tibet,1371.0680866754103,2.0,1.8,3.2,-1.4
Timor-Leste,1098.0982052493343,7.0,1.0,1.2,-0.2
Togo,1485.7450277012667,11.0,1.6,0.6,1.0
Tonga,1290.6639165231163,3.0,1.4,4.6,-3.2
Trinidad and Tobago,1531.232278125304,7.0,1.8,1.2,0.6
Tunisia,1690.101972540031,8.0,1.8,1.2,0.6
Turkey,1714.8416329768972,4.0,1.0,2.0,-1.0
Turkmenistan,1429.3478077103994,9.0,1.6,1.8,-0.2
Turks and Caicos Islands,1265.5832981846377,4.0,0.6,2.2,-1.6
Tuvalu,1389.1809918684894,0.0,0.8,4.8,-4.0
Uganda,1545.3751295668064,8.0,0.8,0.6,0.2
Ukraine,1751.699908385342,3.0,0.8,1.8,-1.0
United Arab Emirates,1618.985512749486,2.0,1.0,1.6,-0.6
United States,1770.9294889346831,9.0,2.2,2.0,0.2
United States Virgin Islands,1192.8621609240192,4.0,1.2,2.4,-1.2
Uruguay,1862.910362962294,13.0,2.6,0.2,2.4
Uzbekistan,1733.6328737369695,10.0,1.6,0.4,1.2
Vanuatu,1454.782234363248,4.0,1.0,1.8,-0.8
Vatican City,1455.788974841923,1.0,0.4,3.0,-2.6
Venezuela,1642.7574261976426,9.0,1.2,0.4,0.8
Vietnam,1506.5222108901391,13.0,2.4,0.4,2.0
Vietnam Republic,1486.789624961178,13.0,1.6,0.6,1.0
Wales,1688.5279022476768,7.0,1.0,1.2,-0.2
Wallis Islands and Futuna,1405.6861181101442,0.0,0.0,4.2,-4.2
Western Australia,1501.090169496046,9.0,3.0,2.6,0.4
Western Isles,1494.792645460724,2.0,1.6666666666666667,2.0,-0.3333333333333333
Western Sahara,1487.9845495666395,6.0,2.2,3.2,-1.0
Yemen,1306.458307976508,5.0,0.8,0.8,0.0
Yemen DPR,1462.6881692973493,0.0,0.6,4.0,-3.4
Ynys Môn,1601.0398700042783,12.0,2.6,1.6,1.0
Yorkshire,1519.0745167650714,10.0,4.0,1.8,2.2
Yoruba Nation,1500.0107808055243,1.0,1.0,1.0,0.0
Yugoslavia,1713.8799411059656,11.0,1.8,0.4,1.4
Zambia,1520.1956010868448,4.0,1.0,1.6,-0.6
Zanzibar,1469.5150673336932,10.0,1.2,0.8,0.4
Zimbabwe,1454.5569707002203,2.0,0.4,1.0,-0.6
Åland Islands,1483.3374338633955,1.0,1.2,2.2,-1.0
